date,cci,indiesleaze_score,lipstickindex_score,maxiskirt_score,bigbag_score,highheelindex_score,peplums_score,blazers_score,mini_score,indiesleaze_lag3,indiesleaze_lag6,lipstickindex_lag3,lipstickindex_lag6,maxiskirt_lag3,maxiskirt_lag6,bigbag_lag3,bigbag_lag6,highheelindex_lag3,highheelindex_lag6,peplums_lag3,peplums_lag6,blazers_lag3,blazers_lag6,mini_lag3,mini_lag6,cci_lag3,cci_lag6
,100.8773,-1.4262093245123704,-0.2897779045394317,-0.9457430470771652,0.0288408847264506,-1.1277872534209463,-0.6034181220595345,-0.8755316250930371,-0.844614601159062,-1.3002193078551838,-1.3780046299405435,-0.3492990093667184,-0.0962102919015963,-0.9457430470771652,-0.9457430470771652,0.375300549414428,-0.9114110839085102,-0.9912146006232496,-1.1970867207516094,-0.6034181220595345,-0.6034181220595345,-0.8754115095695214,-0.8755466396992885,-0.9877866457521058,-1.097216735950918,100.7139,100.2284
,100.7314,-1.4124380570968382,-0.2897779045394317,-0.9457378914476844,0.0288408847264506,-1.253593589013892,-0.6034181220595345,-0.8755916835180428,-0.8382493870777128,-1.4144683460191498,-1.3561434353713175,-0.2450925934845206,-0.0962102919015963,-0.9457378914476844,-0.9457378914476844,-0.0206442988238278,-0.466053204897754,-0.74388340639667,-0.6751966584735337,-0.6034181220595345,-0.6034181220595345,-0.8755466396992885,-0.8754865819375307,-0.5613344873326069,-0.3080360375488876,100.6771,100.2087
,100.6746,-1.4173111195970547,-0.2897647856289095,-0.9457430470771652,-0.0206231717631182,-1.3921925236752182,-0.6034181220595345,-0.8755766689117914,-0.7716612076931871,-1.3946207743809664,-1.3265628078577842,-0.0961840548834718,-0.2748728234610273,-0.9457378914476844,-0.9457430470771652,-0.3670617107364874,-0.3670405836757777,-1.1103155715946806,-1.258261934167751,-0.6034181220595345,-0.6034181220595345,-0.8755316250930371,-0.8754715673312792,-1.2066507948905347,-1.097216735950918,100.4738,100.4345
,100.7139,-1.5080573278893392,-0.3642303266603273,-0.9457533583361272,-0.1691209765353731,-1.4137405931848448,-0.6034181220595345,-0.8756217120672978,-0.4601270762492577,-1.4262093245123704,-1.3002193078551838,-0.2897779045394317,-0.3492990093667184,-0.9457430470771652,-0.9457430470771652,0.0288408847264506,0.375300549414428,-1.1277872534209463,-0.9912146006232496,-0.6034181220595345,-0.6034181220595345,-0.8755316250930371,-0.8754115095695214,-0.844614601159062,-0.9877866457521058,100.2284,100.7531
,100.6771,-1.4379690724438456,-0.3642434447679295,-0.9457482027066464,0.4247434801893883,-0.9653614152454222,-0.6034181220595345,-0.8755916835180428,-1.0607400392179809,-1.4124380570968382,-1.4144683460191498,-0.2897779045394317,-0.2450925934845206,-0.9457378914476844,-0.9457378914476844,0.0288408847264506,-0.0206442988238278,-1.253593589013892,-0.74388340639667,-0.6034181220595345,-0.6034181220595345,-0.8755916835180428,-0.8755466396992885,-0.8382493870777128,-0.5613344873326069,100.2087,100.9735
,100.4738,-1.3589841981697366,-0.2451188305026451,-0.9457430470771652,0.7217091883853366,-1.035526458739079,-0.6034181220595345,-0.8755316250930371,-0.0888867160729652,-1.4173111195970547,-1.3946207743809664,-0.2897647856289095,-0.0961840548834718,-0.9457430470771652,-0.9457378914476844,-0.0206231717631182,-0.3670617107364874,-1.3921925236752182,-1.1103155715946806,-0.6034181220595345,-0.6034181220595345,-0.8755766689117914,-0.8755316250930371,-0.7716612076931871,-1.2066507948905347,100.4345,101.0192
,100.2284,-1.3755982391631736,-0.2451319486102473,-0.9457430470771652,0.1278112518270076,-1.2556198708775217,-0.6034181220595345,-0.8755466396992885,-0.3532908594404531,-1.5080573278893392,-1.4262093245123704,-0.3642303266603273,-0.2897779045394317,-0.9457533583361272,-0.9457430470771652,-0.1691209765353731,0.0288408847264506,-1.4137405931848448,-1.1277872534209463,-0.6034181220595345,-0.6034181220595345,-0.8756217120672978,-0.8755316250930371,-0.4601270762492577,-0.844614601159062,100.7531,100.9796
,100.2087,-1.344007678252284,-0.2600070983112696,-0.9457378914476844,-0.0206442988238278,-0.982835445819737,-0.6034181220595345,-0.8755166111500335,-0.1523197999345805,-1.4379690724438456,-1.4124380570968382,-0.3642434447679295,-0.2897779045394317,-0.9457482027066464,-0.9457378914476844,0.4247434801893883,0.0288408847264506,-0.9653614152454222,-1.253593589013892,-0.6034181220595345,-0.6034181220595345,-0.8755916835180428,-0.8755916835180428,-1.0607400392179809,-0.8382493870777128,100.9735,100.8748
,100.4345,-1.3339042208350471,-0.3493252455819229,-0.9457378914476844,-0.1196146659243851,-0.7603525225320074,-0.6034181220595345,-0.8754865819375307,-0.289916403749739,-1.3589841981697366,-1.4173111195970547,-0.2451188305026451,-0.2897647856289095,-0.9457430470771652,-0.9457430470771652,0.7217091883853366,-0.0206231717631182,-1.035526458739079,-1.3921925236752182,-0.6034181220595345,-0.6034181220595345,-0.8755316250930371,-0.8755766689117914,-0.0888867160729652,-0.7716612076931871,101.0192,100.7045
,100.7531,-1.3043271901877005,-0.379096051810085,-0.9457378914476844,0.3258153658641497,-0.6327696998118257,-0.6034181220595345,-0.8754565527250278,-0.5692781856681841,-1.3755982391631736,-1.5080573278893392,-0.2451319486102473,-0.3642303266603273,-0.9457430470771652,-0.9457533583361272,0.1278112518270076,-0.1691209765353731,-1.2556198708775217,-1.4137405931848448,-0.6034181220595345,-0.6034181220595345,-0.8755466396992885,-0.8756217120672978,-0.3532908594404531,-0.4601270762492577,100.9796,100.6121
