date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,indiesleaze_score,lipstickindex_score,maxiskirt_score,bigbag_score,highheelindex_score,peplums_score,blazers_score,mini_score
,100.8644,10.872,32.894,221.048,45.834,0.0,0.0,108.828,147.045,16.13,0.0,0.0,54.499,0.0,0.0,80.369,47.297,0.0,156.948,0.0,0.0,400.844,0.0,109.161,0.0,631.316,0.0,0.0,0.0,0,0.0,769.686,0.0,0.0,0.0,0.0,193.014,0.0,272.228,0.0,0.0,-1.3265628078577842,-0.27487282346102737,-0.9457430470771653,-0.36704058367577774,-1.258261934167751,-0.6034181220595345,-0.8754715673312792,-1.097216735950918
,100.9582,0.0,32.894,299.065,68.751,0.0,0.0,88.675,179.721,0.0,0.0,0.0,54.499,0.0,0.0,80.369,69.467,0.0,204.032,0.0,0.0,385.998,0.0,74.23,12.952,589.782,0.0,0.0,0.0,0,0.0,860.237,0.0,0.0,0.0,0.0,220.587,0.0,344.593,0.0,0.0,-1.3002193078551838,-0.3492990093667184,-0.9457430470771653,0.375300549414428,-0.9912146006232497,-0.6034181220595345,-0.8754115095695214,-0.9877866457521058
,101.0323,0.0,16.447,195.042,42.56,0.0,0.0,116.889,147.045,16.13,0.0,0.0,44.59,0.0,0.0,93.764,57.643,0.0,156.948,0.0,0.0,371.152,3.021,74.23,19.428,647.929,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,183.823,0.0,258.445,10.64,10.538,-1.4144683460191498,-0.24509259348452067,-0.9457378914476844,-0.020644298823827876,-0.74388340639667,-0.6034181220595345,-0.8755466396992885,-0.5613344873326069
,101.011,5.436,24.67,143.031,32.738,0.0,0.0,157.196,147.045,10.753,0.0,0.0,54.499,0.0,0.0,93.764,47.297,0.0,141.253,0.0,0.0,363.729,0.0,78.596,17.269,664.543,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,165.44,0.0,261.891,0.0,0.0,-1.3946207743809664,-0.09618405488347188,-0.9457378914476844,-0.3670617107364874,-1.1103155715946806,-0.6034181220595345,-0.8755316250930371,-1.2066507948905347
,100.8773,0.0,24.67,91.02,22.917,0.0,0.0,104.797,130.706,0.0,0.0,0.0,64.408,0.0,0.0,80.369,59.121,0.0,156.948,0.0,0.0,341.46,0.0,74.23,12.952,647.929,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,183.823,0.0,227.431,0.0,9.835,-1.4262093245123704,-0.28977790453943175,-0.9457430470771653,0.02884088472645068,-1.1277872534209463,-0.6034181220595345,-0.8755316250930371,-0.844614601159062
,100.7314,0.0,24.67,65.014,29.464,0.0,0.0,104.797,130.706,16.13,0.0,0.0,76.795,0.0,0.0,93.764,59.121,0.0,156.948,0.0,0.0,363.729,0.0,78.596,10.793,689.463,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,183.823,0.0,237.769,11.97,0.0,-1.4124380570968382,-0.28977790453943175,-0.9457378914476844,0.02884088472645068,-1.253593589013892,-0.6034181220595345,-0.8755916835180428,-0.8382493870777128
,100.6746,5.436,16.447,52.011,36.012,0.0,0.0,104.797,147.045,10.753,0.0,0.0,69.363,0.0,0.0,80.369,57.643,0.0,172.643,0.0,0.0,363.729,0.0,82.963,15.111,772.531,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,202.205,0.0,251.553,0.0,9.835,-1.4173111195970547,-0.28976478562890956,-0.9457430470771653,-0.020623171763118266,-1.3921925236752182,-0.6034181220595345,-0.8755766689117914,-0.7716612076931871
,100.7139,0.0,0.0,65.014,26.191,0.0,0.0,84.644,130.706,10.753,0.0,0.0,71.84,0.0,0.0,53.579,53.209,0.0,141.253,0.0,0.0,348.883,0.0,74.23,19.428,805.758,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,193.014,0.0,258.445,12.635,11.065,-1.5080573278893392,-0.3642303266603273,-0.9457533583361272,-0.1691209765353731,-1.4137405931848448,-0.6034181220595345,-0.8756217120672978,-0.4601270762492577
,100.6771,5.436,16.447,78.017,26.191,0.0,0.0,84.644,114.368,16.13,0.0,0.0,66.886,0.0,0.0,66.974,70.945,0.0,172.643,0.0,0.0,356.306,2.884,74.23,25.904,772.531,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,202.205,0.0,261.891,0.0,0.0,-1.4379690724438456,-0.3642434447679295,-0.9457482027066463,0.4247434801893883,-0.9653614152454222,-0.6034181220595345,-0.8755916835180428,-1.0607400392179807
,100.4738,16.309,24.67,78.017,39.286,0.0,0.0,116.889,114.368,16.13,0.0,0.0,66.886,0.0,0.0,80.369,79.814,0.0,188.337,0.0,0.0,319.191,3.296,78.596,12.952,747.611,0.0,0.0,0.0,0,0.0,679.135,0.0,0.0,0.0,0.0,202.205,3.374,258.445,0.0,12.997,-1.3589841981697366,-0.24511883050264513,-0.9457430470771653,0.7217091883853366,-1.035526458739079,-0.6034181220595345,-0.8755316250930371,-0.08888671607296529
