cci,trend_score,indicator
99.76938,0.9556179142847768,Indiesleaze
99.54403,1.1119740941481515,Indiesleaze
99.30601,1.055309163548244,Indiesleaze
98.97307,0.5282586485289503,Indiesleaze
98.51152,0.4188660068739315,Indiesleaze
97.96985,0.3212513652283575,Indiesleaze
97.5761,0.1126424647133303,Indiesleaze
97.20341,-0.0967768170103042,Indiesleaze
96.8323,-0.2421800332846253,Indiesleaze
96.63258,-0.067196189496771,Indiesleaze
96.6407,0.1697662370857131,Indiesleaze
96.66358,0.2049876791461742,Indiesleaze
96.7627,0.5719616679347586,Indiesleaze
96.9458,0.4330086616236616,Indiesleaze
97.21941,0.4115382241212775,Indiesleaze
97.52456,0.1292138765448713,Indiesleaze
97.77238,0.0878958674043036,Indiesleaze
97.93935,-0.0356498438344774,Indiesleaze
98.14481,-0.2114445861912248,Indiesleaze
98.32935,-0.2490890850203251,Indiesleaze
98.50545,-0.3665772614747095,Indiesleaze
98.58678,-0.1879193900151024,Indiesleaze
98.48763,-0.140543846090138,Indiesleaze
98.32858,0.0862759981118998,Indiesleaze
98.22819,0.3710462371934117,Indiesleaze
98.33882,0.4115335096004169,Indiesleaze
98.66457,0.3572728663308938,Indiesleaze
99.00814,0.0547057000584651,Indiesleaze
99.19379,0.0397495356659672,Indiesleaze
99.2499,-0.0635668944338998,Indiesleaze
99.17113,-0.1230767020586978,Indiesleaze
99.02784,-0.2850996596396276,Indiesleaze
98.94792,-0.155023009299691,Indiesleaze
98.92973,0.1468248270685936,Indiesleaze
98.96976,0.6540424256614873,Indiesleaze
99.04605,1.3581674470039231,Indiesleaze
99.12044,1.7884475946683138,Indiesleaze
99.1316,1.6202473408693463,Indiesleaze
99.0723,1.688364695213194,Indiesleaze
100.8491,-0.3493514826000473,Lipstickindex
100.8355,-0.2897779045394317,Lipstickindex
100.7913,-0.3344500966838206,Lipstickindex
100.7505,-0.2451188305026451,Lipstickindex
100.7282,-0.2599808612931452,Lipstickindex
100.7717,-0.4089287550199206,Lipstickindex
100.8285,-0.3791222888282095,Lipstickindex
100.8303,-0.289791022647034,Lipstickindex
100.8061,-0.0962102919015963,Lipstickindex
100.81,-0.0962102919015963,Lipstickindex
100.8644,-0.2748728234610273,Lipstickindex
100.9582,-0.3492990093667184,Lipstickindex
101.0323,-0.2450925934845206,Lipstickindex
101.011,-0.0961840548834718,Lipstickindex
100.8773,-0.2897779045394317,Lipstickindex
100.7314,-0.2897779045394317,Lipstickindex
100.6746,-0.2897647856289095,Lipstickindex
100.7139,-0.3642303266603273,Lipstickindex
100.6771,-0.3642434447679295,Lipstickindex
100.4738,-0.2451188305026451,Lipstickindex
100.2284,-0.2451319486102473,Lipstickindex
100.2087,-0.2600070983112696,Lipstickindex
100.4345,-0.3493252455819229,Lipstickindex
100.7531,-0.379096051810085,Lipstickindex
100.9735,-0.2004466383582563,Lipstickindex
101.0192,-0.2599939802036674,Lipstickindex
100.9796,-0.2451057123950429,Lipstickindex
100.8748,-0.2302006313166384,Lipstickindex
100.7045,-0.3046792904556585,Lipstickindex
100.6121,-0.3046924085632607,Lipstickindex
100.5865,-0.3195843707311429,Lipstickindex
100.6138,-0.3940367928520384,Lipstickindex
100.7571,-0.2898041407546362,Lipstickindex
100.9613,-0.3344632147914229,Lipstickindex
101.0749,-0.3195843707311429,Lipstickindex
101.1291,-0.2748728234610273,Lipstickindex
101.1371,-0.3642434447679295,Lipstickindex
101.0739,-0.3642303266603273,Lipstickindex
100.9943,-0.3344238596656961,Lipstickindex
100.9702,-0.3489579313427803,Lipstickindex
100.9881,-0.3340303084084291,Lipstickindex
100.9631,-0.3637843013668113,Lipstickindex
100.9196,-0.3192826486358515,Lipstickindex
100.7676,-0.3492071802047428,Lipstickindex
100.5712,-0.3045743431860806,Lipstickindex
100.3328,-0.3046136983118073,Lipstickindex
100.0589,-0.2748334683353006,Lipstickindex
99.8483,-0.2897123123955806,Lipstickindex
99.63045,-0.2152824329335518,Lipstickindex
99.32162,-0.1855022029570452,Lipstickindex
98.95058,-0.2003941651249274,Lipstickindex
98.49242,-0.3344238596656961,Lipstickindex
98.04234,-0.2748465872458229,Lipstickindex
97.69081,-0.2897647856289095,Lipstickindex
97.58231,-0.3344500966838206,Lipstickindex
97.66558,-0.2897779045394317,Lipstickindex
97.67867,-0.125990521878103,Lipstickindex
97.41298,-0.1855415580827718,Lipstickindex
97.16837,-0.1855284391722496,Lipstickindex
97.03234,-0.2450663572693162,Lipstickindex
96.9688,-0.2004204013401318,Lipstickindex
96.97824,-0.2897647856289095,Lipstickindex
97.20629,-0.3195450156054162,Lipstickindex
97.66534,-0.304653053437534,Lipstickindex
98.12306,-0.304653053437534,Lipstickindex
98.46567,-0.3493252455819229,Lipstickindex
98.68877,-0.3344369777732984,Lipstickindex
98.89773,-0.3046661723480562,Lipstickindex
99.11938,-0.3344500966838206,Lipstickindex
99.21873,-0.304653053437534,Lipstickindex
99.24712,-0.2748597053534251,Lipstickindex
99.30729,-0.230174395101434,Lipstickindex
99.37518,-0.3195318974978139,Lipstickindex
99.39132,-0.3195450156054162,Lipstickindex
99.38895,-0.2748465872458229,Lipstickindex
99.36604,-0.2897516675213073,Lipstickindex
99.31453,-0.2897516675213073,Lipstickindex
99.26768,-0.2748728234610273,Lipstickindex
99.21994,-0.3195581345159384,Lipstickindex
99.23846,-0.2897647856289095,Lipstickindex
99.2652,-0.3195712526235406,Lipstickindex
99.30903,-0.2748859423715495,Lipstickindex
99.38902,-0.2450925934845206,Lipstickindex
99.42262,-0.1557088540700162,Lipstickindex
99.38183,-0.2152693140230296,Lipstickindex
99.27272,-0.2152824329335518,Lipstickindex
99.04582,-0.2152693140230296,Lipstickindex
98.91441,-0.2152824329335518,Lipstickindex
98.90597,-0.215295551041154,Lipstickindex
98.82299,-0.2748597053534251,Lipstickindex
98.58913,-0.2897516675213073,Lipstickindex
98.31213,-0.2599677431855429,Lipstickindex
98.20346,-0.2302006313166384,Lipstickindex
98.21943,-0.1855284391722496,Lipstickindex
98.35287,-0.1706233588967651,Lipstickindex
98.53907,-0.0961446997577451,Lipstickindex
98.7452,-0.0514987446314807,Lipstickindex
98.89159,0.0080654096807902,Lipstickindex
98.95768,-0.0365805454454741,Lipstickindex
98.95599,-0.0663607754219807,Lipstickindex
98.92139,-0.0365936643559964,Lipstickindex
98.82849,-0.0812789746079874,Lipstickindex
98.77732,-0.0365936643559964,Lipstickindex
98.77785,-0.0812789746079874,Lipstickindex
98.82154,-0.0366067824635986,Lipstickindex
98.88181,-0.0217148202957164,Lipstickindex
98.89039,0.0676426821006635,Lipstickindex
98.8409,0.0378849947830236,Lipstickindex
98.90736,0.0080785277883924,Lipstickindex
99.02441,0.0229704899562746,Lipstickindex
99.13401,-0.0068265524870919,Lipstickindex
99.24032,-0.0514856265238785,Lipstickindex
99.38569,-0.0365936643559964,Lipstickindex
99.51501,-0.0812789746079874,Lipstickindex
99.6199,-0.0366199005712008,Lipstickindex
