date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,cpi,cci_fred,consumer_sentiment,unemployment_rate,retail_sales_clothing,personal_saving_rate,retail_total_spending,retail_avg_transaction,retail_transaction_count,retail_unique_customers,census_sales_naics_446,census_sales_naics_44812,census_cci,cpi_index,inflation_rate_yoy,year,month,quarter,is_great_recession,is_covid_crisis,is_inflation_surge
2005-10-01,100.2087,27.182,24.67,156.034,36.012,0.0,0.0,112.859,114.368,16.13,5.584,0.0,59.454,0.0,0.0,93.764,57.643,0.0,156.948,0.0,0.0,371.152,2.884,82.963,21.587,755.918,0.0,0.0,0.0,0,0.0,701.772,0.0,0.0,0.0,0.0,229.778,2.651,220.539,0.0,11.416,202.0,79.83502,74.2,5.0,16126,2.3,,,,,17562.0,3092.0,79.83502,1.038026721479959,2.071753410813537,2005,10,4,0,0,0
2005-11-01,100.4345,43.491,16.447,247.054,39.286,0.0,0.0,88.675,147.045,10.753,0.0,0.0,59.454,0.0,0.0,93.764,54.687,0.0,156.948,0.0,0.0,326.614,3.296,65.497,8.634,606.395,0.0,0.0,0.0,0,0.0,747.048,0.0,0.0,0.0,0.0,165.44,3.856,248.107,0.0,8.255,202.5,87.797,81.6,5.0,17972,2.6,,,,,17619.0,3111.0,87.797,1.0405960945529291,2.1180030257186067,2005,11,4,0,0,0
2005-12-01,100.7531,43.491,24.67,416.091,39.286,0.0,0.0,80.613,163.383,16.13,0.0,0.0,61.931,0.0,0.0,93.764,67.989,0.0,204.032,0.0,0.0,341.46,3.708,65.497,10.793,581.475,0.0,0.0,0.0,0,0.0,792.324,0.0,0.0,0.0,0.0,183.823,0.0,254.999,8.645,11.943,202.8,98.44884,91.5,4.9,29465,2.5,,,,,17824.0,3101.0,98.44884,1.0421377183967113,2.114803625377659,2005,12,4,0,0,0
2006-01-01,100.9735,48.927,24.67,234.051,32.738,4.368,0.0,128.981,114.368,10.753,0.0,0.0,49.545,0.0,0.0,93.764,45.819,0.0,156.948,0.0,0.0,319.191,2.609,69.863,8.634,656.236,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,174.632,0.0,196.418,7.536,8.782,203.2,98.12607,91.2,4.7,12582,3.0,,,,,17831.0,3178.0,98.12607,1.0441932168550874,2.1105527638190846,2006,1,1,0,0,0
2006-02-01,101.0192,38.054,16.447,143.031,29.464,4.5,0.0,112.859,130.706,10.753,0.0,0.0,52.022,0.0,0.0,107.159,38.429,0.0,141.253,0.0,0.0,311.768,2.06,74.23,15.111,623.009,0.0,0.0,0.0,0,0.0,633.859,0.0,0.0,0.0,0.0,156.249,2.41,192.972,0.0,8.782,203.6,93.28432,86.7,4.8,14111,3.2,,,,,17879.0,3080.0,93.28432,1.0462487153134634,2.106318956870612,2006,2,1,0,0,0
2006-03-01,100.9796,43.491,24.67,104.022,13.095,0.0,0.0,116.889,130.706,16.13,0.0,0.0,56.977,0.0,0.0,93.764,48.775,0.0,156.948,0.0,0.0,319.191,2.06,74.23,15.111,672.85,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,156.249,0.0,196.418,5.098,6.498,204.3,95.6514,88.9,4.7,16011,3.3,,,,,17995.0,3096.0,95.6514,1.049845837615622,2.0989505247376306,2006,3,1,0,0,0
2006-04-01,100.8748,59.8,24.67,78.017,16.369,0.0,0.0,120.92,147.045,10.753,0.0,0.0,47.068,0.0,0.0,93.764,45.819,0.0,156.948,0.0,0.0,341.46,0.0,74.23,12.952,714.384,7.668,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,183.823,2.772,192.972,8.201,6.85,204.8,94.03748,87.4,4.7,16475,3.1,,,,,18087.0,3138.0,94.03748,1.052415210688592,2.29770229770232,2006,4,2,0,0,0
2006-05-01,100.7045,54.364,16.447,65.014,19.643,0.0,0.0,100.767,114.368,10.753,0.0,0.0,56.977,0.0,0.0,93.764,47.297,0.0,156.948,0.0,0.0,326.614,2.197,69.863,12.952,755.918,0.0,0.0,0.0,0,0.0,520.67,0.0,0.0,0.0,0.0,156.249,2.41,182.634,11.305,5.796,205.4,85.10715,79.1,4.6,16703,2.9,,,,,18271.0,3109.0,85.10715,1.0554984583761562,2.44389027431422,2006,5,2,0,0,0
2006-06-01,100.6121,54.364,24.67,52.011,22.917,0.0,0.0,100.767,98.03,16.13,0.0,0.0,39.636,0.0,0.0,66.974,41.385,5.889,156.948,0.0,0.0,326.614,1.922,61.13,10.793,805.758,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,174.632,3.133,199.864,0.0,7.903,205.9,91.34762,84.9,4.6,16126,2.9,,,,,18364.0,3158.0,91.34762,1.0580678314491265,2.6420737786640114,2006,6,2,0,0,0
2006-07-01,100.5865,92.419,32.894,65.014,22.917,0.0,0.0,96.736,98.03,10.753,0.0,0.0,44.59,0.0,0.0,80.369,48.775,0.0,188.337,0.0,0.0,319.191,1.785,65.497,6.476,780.838,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,183.823,3.013,234.323,0.0,8.079,206.3,91.13243,84.7,4.7,15909,2.3,,,,,18444.0,3224.0,91.13243,1.0601233299075026,2.6879044300647026,2006,7,3,0,0,0
